group,timestamp,name,items,week_num,items_recipe_num,pk
lunch,2022-03-18 11:00:00Z,"Lunch on Friday, March 18, 2022","[1397, 1398, 1294, 1046, 1243, 1219, 1456, 1436, 1257, 1333, 1363, 1361, 1356, 1342, 1337, 1667]",10,"['5376', '6858', '103446.1', '8621', '8060.6', '102356', '48376.8', '103804', '5864.1', '47608.5', '47608.6', '103791', '49503.17', '5150.2', '74147.4', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1051
afterlunch,2022-03-19 14:30:00Z,"Afterlunch on Saturday, March 19, 2022","[1074, 1084, 1066]",10,"['102407', '44726.1', '82258.7', '14920', '103643.1', '103897', '102802']",1052
breakfast,2022-03-19 07:30:00Z,"Breakfast on Saturday, March 19, 2022","[1047, 1007, 1044, 1034, 1046, 1010]",10,"['2032.23', '128116', '122864', '5496.3', '8621', '92347']",1053
dinner,2022-03-19 16:30:00Z,"Dinner on Saturday, March 19, 2022","[1209, 1237, 1221, 1239, 1201, 1290, 1295, 1228, 1186, 1101, 1168, 1163, 1140, 1103, 1053, 1104]",10,"['124682', '102068', '102368', '33992.116', '103183', '33843.7', '56881.11', '102422', '40779.2', '102526', '1008', '36001', '18398', '10958', '1178.9', '74678.5', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920']",1054
lunch,2022-03-19 11:00:00Z,"Lunch on Saturday, March 19, 2022","[1405, 1408, 1374, 1369, 1043, 1450, 1435, 1178, 1347, 1332, 1364, 1163, 1140]",10,"['122828.2', '8968.5', '80411', '139259', '31169.3', '103497.1', '7901', '33992.71', '111769', '4831', '3978', '36001', '18398']",1055
afterlunch,2022-03-20 14:30:00Z,"Afterlunch on Sunday, March 20, 2022",[],11,"['102407', '44726.1', '14920', '82258.7']",1056
breakfast,2022-03-20 07:30:00Z,"Breakfast on Sunday, March 20, 2022","[1047, 1056, 1036, 1040]",11,"['2032.23', '32972.1', '105032', '4864', '103832', '1125.10', '68467.1']",1057
dinner,2022-03-20 16:30:00Z,"Dinner on Sunday, March 20, 2022","[1422, 1336, 1424, 1457, 1418, 1228, 1502, 1110, 1123, 1085, 1077, 1080]",11,"['5183', '18249', '33225.1', '101946', '1512.12', '120978.11', '129403', '5864.7', '123384', '102422', '42395', '118009.1', '118053', '49200.1', '98833', '35685', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '14920', '44726.1', '82258.7', '103630.1', '103411', '103644.1']",1058
lunch,2022-03-20 11:00:00Z,"Lunch on Sunday, March 20, 2022","[1659, 1666, 1410, 1179, 1046]",11,"['725', '41001.12', '102293', '102303', '102289', '3872.17', '100715.2', '41510.3', '35996.5', '18068.2', '778.5', '102530', '8621', '12753.10', '38709.1']",1059
afterlunch,2022-03-21 14:30:00Z,"Afterlunch on Monday, March 21, 2022","[1644, 1645, 1639, 1074, 1087]",11,"['36694.2', '8414.39', '45858', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '102324', '103586.1']",1060
breakfast,2022-03-21 07:30:00Z,"Breakfast on Monday, March 21, 2022","[1047, 1023, 1057, 1032, 1028, 1001, 1000]",11,"['2032.23', '76164.5', '3619', '8735', '8018.19', '5480.6', '3308.1', '47130.4', '128444']",1061
dinner,2022-03-21 16:30:00Z,"Dinner on Monday, March 21, 2022","[1419, 1366, 1438, 1503, 1499, 1074, 1087, 1667]",11,"['4001.3', '102616', '102690', '103915', '49739', '78386.3', '128128', '105460', '114038', '9630.11', '68471.2', '28068', '49477', '4644', '1462.11', '30876', '135004', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '102324', '103586.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1062
lunch,2022-03-21 11:00:00Z,"Lunch on Monday, March 21, 2022","[1039, 1582, 1192, 1667]",11,"['103963', '102355', '33795.4', '19571.8', '103955', '32974.7', '28655', '5401.9', '80829', '143820.2', '25821.7', '5802', '100209.2', '49477', '4644', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1063
